user_id	items
2007650	184140,184140
650952	2301760,2301760,2301760,2301760
81932	215212,215212,215212,215212,215212,215212,215212,215212,215212,215212,215212,215212,215212,215212
254063	886254
1310376	1025689,1025689,1025689,1025689,1025689
2045439	2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756,2156756
661272	184140,184140,184140,184140,184140,184140,184140,184140,184140,184140,184140,184140,184140,184140,184140
560698	215212,215212,215212,215212,215212,215212,215212,215212,215212,215212,215212,215212,215212,215212
663419	2301760,2301760,2301760,2301760,2301760,2301760,2301760,2301760,2301760,2301760,2301760,2301760,2301760,2301760,2301760,2301760,2301760
1323612	1247957
2257343	184140,184140
